species,breed_size,age,location,food_cost,preventive_cost,grooming_cost,total_annual_cost,risk_tier
Dog,Large,12,Urban,407064,13904,7170,492358,HIGH
Dog,Medium,10,Semi-Urban,301096,10060,4848,363404,HIGH
Dog,Large,3,Urban,410761,11226,6681,492968,HIGH
Dog,Small,7,Urban,213902,9665,3456,261076,HIGH
Dog,Large,4,Semi-Urban,410194,8810,7278,490224,HIGH
Dog,Medium,9,Semi-Urban,301357,10680,5788,365498,HIGH
Dog,Medium,6,Urban,300424,10448,5201,363483,HIGH
Dog,Medium,7,Semi-Urban,301423,8716,5173,362608,HIGH
Dog,Extra Large,11,Urban,496676,11811,7578,593474,HIGH
Dog,Small,11,Semi-Urban,215160,10252,3021,262697,HIGH
Dog,Large,7,Urban,406234,9772,6725,486140,HIGH
Cat,Medium,9,Urban,300453,13033,5214,366505,HIGH
Dog,Medium,6,Semi-Urban,300574,8006,5040,360663,HIGH
Dog,Large,12,Semi-Urban,410432,10402,6637,491591,HIGH
Dog,Small,13,Urban,207697,12834,3556,257700,HIGH
Dog,Medium,8,Semi-Urban,301602,6724,5414,360801,HIGH
Dog,Large,12,Urban,407886,12588,6514,491036,HIGH
Dog,Small,13,Semi-Urban,211278,10114,3385,258493,HIGH
Dog,Extra Large,4,Urban,498950,8573,7927,592767,HIGH
Dog,Large,5,Semi-Urban,408039,7652,6152,485119,HIGH
Dog,Large,9,Semi-Urban,406063,9239,6856,485481,HIGH
Cat,Small,9,Urban,212563,12939,3748,263637,HIGH
Dog,Large,12,Urban,409554,11736,6685,492171,HIGH
Dog,Medium,6,Semi-Urban,300515,7805,4989,360305,HIGH
Dog,Medium,3,Semi-Urban,301598,9290,4750,362983,HIGH
Dog,Large,10,Urban,408427,12759,6163,491451,HIGH
Cat,Medium,2,Urban,303013,10278,6052,367244,HIGH
Cat,Medium,4,Urban,302010,10842,5273,365843,HIGH
Dog,Medium,13,Urban,297690,13248,5209,363569,HIGH
Dog,Medium,2,Semi-Urban,305129,8816,6078,368026,HIGH
Cat,Large,4,Urban,408008,8784,6918,487266,HIGH
Dog,Small,9,Urban,211594,13233,3613,262706,HIGH
Cat,Extra Large,6,Urban,495750,10265,9068,592345,HIGH
Dog,Large,6,Urban,407797,9316,6487,487140,HIGH
Cat,Small,8,Semi-Urban,214309,8427,3560,260240,HIGH
Dog,Small,3,Semi-Urban,213695,9087,2916,259552,HIGH
Cat,Small,4,Semi-Urban,214467,7773,3379,259461,HIGH
Cat,Extra Large,2,Urban,499354,9610,8507,595091,HIGH
Dog,Small,6,Urban,214824,10226,3958,263359,HIGH
Dog,Medium,5,Urban,297741,8731,5278,358512,HIGH
Dog,Extra Large,5,Urban,500778,9874,8661,597209,HIGH
Cat,Large,6,Urban,408568,8031,6829,486942,HIGH
Dog,Large,12,Urban,408665,12214,7143,492225,HIGH
Dog,Large,10,Urban,406337,12733,6342,489223,HIGH
Dog,Medium,8,Urban,297221,9539,5060,358593,HIGH
Dog,Extra Large,9,Urban,497343,12502,7733,595214,HIGH
Dog,Medium,4,Urban,299992,10535,5320,363224,HIGH
Dog,Extra Large,10,Urban,495094,10891,7955,591031,HIGH
Dog,Extra Large,3,Urban,497106,9988,8387,592803,HIGH
Dog,Large,9,Urban,409382,13412,6919,494169,HIGH
Dog,Small,5,Urban,210115,11632,3397,258915,HIGH
Dog,Small,4,Urban,212660,8760,4352,259637,HIGH
Dog,Large,2,Urban,410956,9713,5969,490633,HIGH
Dog,Medium,13,Semi-Urban,302513,10860,4268,365287,HIGH
Dog,Medium,9,Urban,300741,12965,5252,366801,HIGH
Dog,Medium,2,Semi-Urban,302255,8928,5780,364507,HIGH
Dog,Small,5,Semi-Urban,214360,8234,3709,260248,HIGH
Dog,Medium,11,Semi-Urban,304827,9816,5459,368117,HIGH
Cat,Extra Large,10,Urban,495334,12389,9171,594428,HIGH
Dog,Medium,11,Urban,298452,13912,4418,364299,HIGH
Dog,Large,9,Semi-Urban,407569,11156,6999,489582,HIGH
Dog,Extra Large,2,Urban,493000,10575,8376,588743,HIGH
Cat,Extra Large,4,Semi-Urban,499020,7200,7919,591259,HIGH
Cat,Medium,5,Semi-Urban,302062,8896,5423,363838,HIGH
Cat,Medium,1,Semi-Urban,303570,9077,4366,364564,HIGH
Dog,Medium,4,Semi-Urban,298483,7689,5211,358090,HIGH
Dog,Large,9,Urban,410472,14030,6165,495267,HIGH
Dog,Medium,3,Urban,305306,9100,4328,366544,HIGH
Dog,Extra Large,13,Urban,496418,13151,8911,596252,HIGH
Dog,Large,12,Semi-Urban,408431,10994,7742,491242,HIGH
Dog,Large,10,Urban,406277,12520,7097,489778,HIGH
Dog,Medium,10,Urban,302508,14004,5689,370531,HIGH
Dog,Large,13,Urban,410706,11855,6083,492940,HIGH
Dog,Medium,5,Semi-Urban,303231,8047,4108,362693,HIGH
Dog,Medium,10,Semi-Urban,302859,9236,5004,364663,HIGH
Dog,Small,5,Semi-Urban,213612,8395,3034,258797,HIGH
Dog,Extra Large,9,Urban,498381,12733,8080,597073,HIGH
Dog,Small,8,Semi-Urban,215633,8245,2533,260372,HIGH
Dog,Small,13,Urban,216600,12289,4097,267933,HIGH
Dog,Medium,4,Urban,301825,9618,4963,363866,HIGH
Cat,Large,12,Urban,410185,12753,6305,493629,HIGH
Dog,Medium,3,Urban,301003,9341,5020,362668,HIGH
Dog,Small,5,Semi-Urban,212212,6793,3540,255926,HIGH
Dog,Medium,4,Urban,299713,10077,4970,361974,HIGH
Dog,Small,10,Urban,210758,13324,3340,261535,HIGH
Dog,Extra Large,4,Urban,491912,11222,7966,587765,HIGH
Dog,Medium,8,Semi-Urban,301286,8306,5091,361885,HIGH
Cat,Medium,13,Urban,298940,11722,5779,363907,HIGH
Dog,Large,7,Urban,406577,11020,6307,487489,HIGH
Dog,Large,4,Urban,409971,10523,6136,490624,HIGH
Dog,Medium,9,Semi-Urban,301457,11386,5547,366148,HIGH
Cat,Large,12,Urban,413105,11771,6117,495641,HIGH
Dog,Small,9,Urban,210576,12846,4127,261681,HIGH
Dog,Large,4,Semi-Urban,407292,6937,7316,484776,HIGH
Dog,Small,5,Semi-Urban,214079,7297,2959,257985,HIGH
Dog,Medium,12,Urban,301648,13075,5026,367711,HIGH
Dog,Small,7,Urban,211432,8550,2513,255869,HIGH
Cat,Small,13,Urban,214483,14132,3241,266634,HIGH
Dog,Medium,4,Urban,298570,9264,5025,359787,HIGH
Dog,Small,10,Semi-Urban,211256,11262,3101,259461,HIGH
Dog,Medium,13,Semi-Urban,303374,10466,4736,366362,HIGH
Dog,Medium,4,Urban,302036,10867,5086,365687,HIGH
Dog,Medium,8,Urban,299728,9882,5068,361879,HIGH
Dog,Medium,11,Urban,301469,14490,4785,368855,HIGH
Dog,Extra Large,4,Urban,495276,9611,9268,591278,HIGH
Dog,Medium,3,Urban,299842,8911,4157,359846,HIGH
Dog,Medium,12,Urban,302294,13006,5093,368451,HIGH
Dog,Small,9,Urban,211670,13416,3721,263128,HIGH
Dog,Small,8,Urban,213958,10920,3633,262787,HIGH
Cat,Extra Large,8,Semi-Urban,500425,7911,8156,593965,HIGH
Cat,Large,1,Semi-Urban,407377,10630,7860,489747,HIGH
Dog,Large,6,Urban,408403,9938,6441,488499,HIGH
Dog,Large,1,Urban,408921,14714,6112,494209,HIGH
Cat,Large,5,Semi-Urban,411197,9246,6560,491053,HIGH
Dog,Extra Large,10,Urban,497291,11858,8579,595387,HIGH
Dog,Small,6,Urban,208772,10282,2895,255241,HIGH
Dog,Large,9,Urban,407681,14023,6880,492871,HIGH
Dog,Medium,1,Semi-Urban,303641,10053,4201,365579,HIGH
Dog,Medium,10,Urban,302491,11023,5626,367011,HIGH
Dog,Medium,5,Urban,300803,11085,5947,365510,HIGH
Cat,Medium,5,Urban,301902,12245,5897,368050,HIGH
Dog,Large,11,Urban,411198,12009,7227,494999,HIGH
Dog,Large,2,Semi-Urban,412256,7721,7643,491763,HIGH
Cat,Medium,7,Urban,303576,9883,5075,366314,HIGH
Dog,Extra Large,11,Semi-Urban,496184,10586,8601,592676,HIGH
Cat,Large,1,Semi-Urban,403398,11244,6556,484377,HIGH
Dog,Large,6,Urban,406275,9182,6839,485640,HIGH
Dog,Medium,3,Urban,298894,9654,6320,362098,HIGH
Dog,Medium,12,Urban,302836,12827,4254,367904,HIGH
Dog,Large,11,Urban,407662,14136,6159,492150,HIGH
Cat,Large,5,Semi-Urban,411153,7911,5716,488497,HIGH
Dog,Extra Large,13,Urban,497283,15477,8414,599350,HIGH
Cat,Medium,2,Semi-Urban,300569,8595,5784,362190,HIGH
Dog,Small,8,Urban,211608,10036,4072,259573,HIGH
Dog,Small,8,Urban,209069,9340,3205,254856,HIGH
Cat,Large,5,Urban,410579,11048,7332,493302,HIGH
Dog,Medium,3,Semi-Urban,298331,7378,4516,356758,HIGH
Dog,Medium,12,Urban,297762,12093,5270,362393,HIGH
Dog,Large,12,Urban,406310,14002,6946,491346,HIGH
Dog,Large,4,Urban,410142,11006,6969,492334,HIGH
Dog,Small,8,Urban,215343,10900,3479,264180,HIGH
Dog,Small,1,Urban,214565,14492,3632,267592,HIGH
Dog,Small,12,Urban,213090,12160,3679,263268,HIGH
Dog,Small,4,Semi-Urban,211506,8432,3452,256898,HIGH
Cat,Large,9,Urban,411722,13733,7173,497522,HIGH
Dog,Large,8,Semi-Urban,409758,8520,6921,488978,HIGH
Dog,Medium,1,Semi-Urban,303642,10251,5278,367046,HIGH
Dog,Small,9,Urban,211723,12612,2781,261183,HIGH
Dog,Large,11,Semi-Urban,408454,9931,6826,488992,HIGH
Dog,Large,2,Urban,407761,9387,7013,487785,HIGH
Dog,Medium,12,Semi-Urban,302631,11597,4692,366758,HIGH
Dog,Large,10,Urban,410151,13447,6221,494291,HIGH
Dog,Small,6,Urban,215597,11448,4396,266157,HIGH
Cat,Small,13,Urban,215874,11357,3237,265038,HIGH
Dog,Extra Large,13,Semi-Urban,496147,10455,8079,591883,HIGH
Dog,Large,5,Semi-Urban,408350,8409,7410,487794,HIGH
Dog,Large,1,Urban,407948,12923,7154,492228,HIGH
Dog,Small,7,Urban,215504,8716,3451,261821,HIGH
Dog,Large,11,Urban,408201,13350,7195,493057,HIGH
Cat,Large,13,Urban,410992,13173,6933,495762,HIGH
Cat,Medium,12,Urban,300390,13160,6061,367552,HIGH
Dog,Medium,10,Semi-Urban,301740,10685,6071,366270,HIGH
Dog,Large,3,Semi-Urban,414942,8595,5813,493752,HIGH
Dog,Large,4,Urban,408157,9158,6411,487284,HIGH
Cat,Extra Large,7,Semi-Urban,497795,8095,7841,590790,HIGH
Dog,Medium,6,Semi-Urban,300518,8761,5038,361464,HIGH
Cat,Medium,5,Semi-Urban,303619,7537,4662,363190,HIGH
Cat,Medium,10,Urban,301468,14054,4733,368293,HIGH
Cat,Medium,6,Urban,300969,9978,4771,363075,HIGH
Cat,Large,5,Urban,410388,10991,6985,492618,HIGH
Dog,Large,13,Urban,408889,15093,6154,494656,HIGH
Dog,Small,3,Urban,213272,9826,3421,260496,HIGH
Dog,Large,8,Urban,406588,10021,7275,487466,HIGH
Dog,Small,8,Urban,212923,9680,3573,260102,HIGH
Cat,Small,12,Urban,212220,13776,4657,265250,HIGH
Dog,Medium,4,Urban,303784,10129,5754,367617,HIGH
Dog,Medium,9,Semi-Urban,304666,10992,5684,369543,HIGH
Dog,Medium,5,Semi-Urban,304251,8213,4801,364854,HIGH
Cat,Medium,2,Semi-Urban,306148,7696,6256,368115,HIGH
Dog,Small,13,Urban,213026,12500,3491,263369,HIGH
Cat,Large,3,Urban,407802,9437,6898,487757,HIGH
Dog,Medium,3,Urban,301347,9809,4863,363421,HIGH
Dog,Medium,8,Semi-Urban,302729,7568,4587,362116,HIGH
Dog,Medium,5,Urban,304153,8895,5412,366229,HIGH
Cat,Extra Large,6,Urban,496710,9933,8325,592213,HIGH
Cat,Small,11,Semi-Urban,211082,9894,2947,257511,HIGH
Dog,Medium,4,Semi-Urban,304394,8404,5588,366143,HIGH
Dog,Large,7,Urban,407327,9581,6858,487330,HIGH
Cat,Large,8,Semi-Urban,407257,8608,6146,485312,HIGH
Dog,Small,13,Urban,212194,13383,4187,264228,HIGH
Dog,Medium,6,Semi-Urban,300635,9708,4589,362171,HIGH
Dog,Medium,6,Urban,300361,9754,4076,361319,HIGH
Dog,Small,4,Urban,212441,9129,3639,258990,HIGH
Dog,Large,2,Urban,406404,10137,6286,486251,HIGH
Dog,Extra Large,1,Urban,500441,12821,8657,600206,HIGH
Dog,Large,7,Semi-Urban,409672,7872,7426,488715,HIGH
Dog,Medium,12,Urban,302126,13586,5783,369719,HIGH
Dog,Small,8,Urban,213656,10727,3997,262637,HIGH
Cat,Large,7,Urban,409166,11358,6068,490580,HIGH
Dog,Medium,7,Urban,302141,10484,5365,365688,HIGH
Cat,Small,6,Urban,213205,8316,3187,258414,HIGH
Dog,Large,11,Semi-Urban,409578,9926,7593,491161,HIGH
Cat,Medium,7,Semi-Urban,300643,8145,5286,361185,HIGH
Cat,Medium,2,Urban,299183,10352,3820,360358,HIGH
Dog,Small,10,Semi-Urban,211116,10274,3145,258215,HIGH
Dog,Medium,4,Urban,300028,10302,5976,363751,HIGH
Dog,Large,2,Urban,408841,8897,6778,488193,HIGH
Dog,Medium,12,Urban,302204,13503,4285,367990,HIGH
Dog,Large,7,Urban,411238,11819,6350,493818,HIGH
Dog,Small,13,Urban,213557,12716,3642,264402,HIGH
Dog,Large,6,Urban,403935,9787,6208,482919,HIGH
Dog,Large,8,Urban,408226,9348,6579,487775,HIGH
Dog,Large,3,Urban,409660,9174,6045,488610,HIGH
Dog,Medium,6,Urban,304253,10572,5555,368437,HIGH
Dog,Small,1,Urban,213227,13094,4309,265224,HIGH
Dog,Large,1,Semi-Urban,410006,10838,6612,491574,HIGH
Cat,Large,1,Urban,406501,13668,7456,491768,HIGH
Dog,Large,2,Semi-Urban,407401,7747,5790,484078,HIGH
Cat,Medium,12,Urban,302041,12530,5313,367866,HIGH
Dog,Large,7,Semi-Urban,407126,8616,6497,485574,HIGH
Cat,Large,12,Urban,406005,12964,6419,489196,HIGH
Dog,Medium,7,Urban,301481,10323,6059,365542,HIGH
Dog,Small,3,Semi-Urban,216525,6901,2451,259758,HIGH
Dog,Medium,12,Semi-Urban,302863,8497,5450,364331,HIGH
Dog,Large,4,Urban,406499,10913,6337,487311,HIGH
Dog,Small,3,Semi-Urban,213058,5980,3352,255748,HIGH
Dog,Medium,8,Urban,303744,10420,3956,365838,HIGH
Dog,Large,4,Urban,403266,9413,6830,482435,HIGH
Dog,Medium,8,Semi-Urban,303230,8056,5583,364399,HIGH
Dog,Medium,9,Urban,299048,14846,4728,366415,HIGH
Dog,Small,3,Semi-Urban,212691,7899,3952,258223,HIGH
Dog,Small,12,Urban,212344,13265,3939,263980,HIGH
Dog,Medium,1,Semi-Urban,297624,10409,5757,360858,HIGH
Dog,Medium,2,Urban,301185,10088,4232,362830,HIGH
Dog,Large,11,Urban,408546,13080,7069,492999,HIGH
Dog,Medium,10,Urban,302550,12281,5366,368226,HIGH
Cat,Small,8,Urban,211239,9228,2880,256849,HIGH
Dog,Small,9,Urban,216437,14641,4253,270630,HIGH
Dog,Large,12,Urban,409304,13219,6911,493849,HIGH
Dog,Medium,1,Urban,303846,12096,5968,370196,HIGH
Dog,Large,3,Semi-Urban,408908,6210,7062,485507,HIGH
Cat,Medium,10,Urban,304711,12071,4373,369328,HIGH
Dog,Medium,2,Semi-Urban,301489,8205,4605,361443,HIGH
Dog,Extra Large,1,Semi-Urban,496241,9459,8472,591297,HIGH
Cat,Small,3,Semi-Urban,213083,8129,3549,258475,HIGH
Cat,Small,10,Semi-Urban,211080,10454,3828,259166,HIGH
Dog,Large,5,Semi-Urban,410254,8243,7202,489553,HIGH
Dog,Medium,1,Semi-Urban,300949,10321,5059,363778,HIGH
Cat,Large,7,Urban,406758,10360,6554,487222,HIGH
Dog,Medium,12,Urban,303336,11881,5803,369173,HIGH
Dog,Medium,10,Semi-Urban,299575,8892,5403,360950,HIGH
Dog,Small,10,Semi-Urban,213201,11116,3072,261497,HIGH
Cat,Large,10,Semi-Urban,408264,11746,7974,492181,HIGH
Dog,Medium,12,Urban,300618,13278,4417,366059,HIGH
Dog,Medium,5,Semi-Urban,299989,9039,5297,361473,HIGH
Cat,Small,10,Semi-Urban,209990,10267,3245,257027,HIGH
Dog,Small,3,Urban,211296,10279,5242,260839,HIGH
Dog,Medium,9,Urban,303182,13421,5651,370592,HIGH
Cat,Medium,5,Urban,302233,9421,5128,364299,HIGH
Cat,Large,2,Semi-Urban,404678,8081,7015,482740,HIGH
Dog,Small,13,Urban,214078,12780,3321,264705,HIGH
Dog,Small,11,Urban,212672,12047,3539,262496,HIGH
Dog,Small,6,Semi-Urban,213835,7943,3813,259429,HIGH
Cat,Medium,4,Urban,300483,8966,4514,361057,HIGH
Dog,Large,12,Urban,407694,14117,6713,492802,HIGH
Dog,Large,1,Urban,406585,12669,8090,491445,HIGH
Dog,Small,9,Urban,216697,12449,2612,266521,HIGH
Dog,Medium,12,Urban,300633,13753,5576,367956,HIGH
Dog,Medium,12,Urban,298135,14293,4928,364959,HIGH
Dog,Large,9,Urban,406762,13627,7330,491876,HIGH
Cat,Large,12,Semi-Urban,409583,10391,6669,490639,HIGH
Dog,Large,4,Semi-Urban,407746,8638,7159,487074,HIGH
Dog,Medium,13,Urban,299401,14067,5106,366360,HIGH
Cat,Large,8,Urban,408518,9351,6430,487943,HIGH
Cat,Medium,5,Semi-Urban,301508,7870,5253,361825,HIGH
Cat,Medium,10,Semi-Urban,299421,9247,4997,360714,HIGH
Dog,Medium,6,Semi-Urban,303174,6806,5060,362296,HIGH
Dog,Large,9,Semi-Urban,406197,10995,6341,487062,HIGH
Dog,Small,1,Urban,210311,11819,3451,259418,HIGH
Dog,Extra Large,11,Urban,500374,12920,8085,599585,HIGH
Cat,Large,2,Urban,408571,9567,7351,489312,HIGH
Dog,Medium,10,Urban,302394,12296,5060,367712,HIGH
Cat,Medium,9,Urban,303147,13058,4840,369201,HIGH
Dog,Large,4,Semi-Urban,406639,9504,7411,487087,HIGH
Dog,Large,7,Semi-Urban,409394,9281,6505,488957,HIGH
Dog,Medium,8,Semi-Urban,300051,8495,4975,360549,HIGH
Cat,Medium,9,Urban,302489,13122,4591,368232,HIGH
Dog,Small,2,Urban,213757,10161,4051,262164,HIGH
Dog,Large,8,Urban,409834,9964,6240,489943,HIGH
Dog,Medium,5,Semi-Urban,297929,7188,4698,356287,HIGH
Dog,Medium,8,Urban,300570,10653,5146,363824,HIGH
Dog,Medium,1,Urban,303143,12899,4829,369001,HIGH
Cat,Large,10,Urban,407339,13022,6983,491445,HIGH
Cat,Large,5,Urban,407467,9257,7181,487490,HIGH
Dog,Large,3,Urban,411290,8498,6096,489766,HIGH
Cat,Medium,2,Urban,300815,11388,5398,365241,HIGH
Dog,Extra Large,5,Urban,497017,9846,8696,592892,HIGH
Cat,Large,10,Semi-Urban,404034,10133,6567,483844,HIGH
Dog,Small,1,Semi-Urban,210231,10545,2935,257267,HIGH
Dog,Large,8,Urban,408638,9293,7090,488774,HIGH
Dog,Small,9,Urban,213946,13617,4458,266824,HIGH
Dog,Large,8,Urban,408989,11164,7741,492078,HIGH
Dog,Small,3,Semi-Urban,212288,8489,3875,258349,HIGH
Dog,Small,11,Semi-Urban,212625,10841,3962,261542,HIGH
Dog,Large,10,Semi-Urban,409507,10152,6603,490201,HIGH
Dog,Medium,5,Urban,301218,9903,5595,364223,HIGH
Cat,Large,11,Urban,405881,13685,7722,491381,HIGH
Dog,Medium,7,Semi-Urban,298526,8672,5714,359848,HIGH
Dog,Large,12,Semi-Urban,407809,9904,6973,488388,HIGH
Dog,Small,8,Urban,214702,10598,3760,263419,HIGH
Dog,Medium,10,Urban,300332,12514,5592,366203,HIGH
Cat,Medium,4,Semi-Urban,303587,6732,5812,363550,HIGH
Dog,Large,2,Urban,409805,9998,6771,490560,HIGH
Cat,Medium,11,Urban,299550,12175,5202,364466,HIGH
Dog,Medium,1,Urban,299658,13188,5041,365570,HIGH
Dog,Small,8,Semi-Urban,212132,9099,3511,258453,HIGH
Dog,Large,9,Urban,411958,13861,7135,497897,HIGH
Dog,Large,5,Semi-Urban,403239,5747,6798,478151,HIGH
Dog,Medium,5,Urban,301240,9457,6289,364533,HIGH
Dog,Large,12,Urban,408161,13994,7325,493902,HIGH
Cat,Medium,8,Urban,300465,11368,5514,364949,HIGH
Dog,Large,4,Urban,410038,10034,7050,491190,HIGH
Dog,Medium,8,Urban,305387,9490,4179,366914,HIGH
Cat,Large,7,Urban,411853,10634,6721,493589,HIGH
Dog,Small,1,Semi-Urban,213717,12410,3728,264333,HIGH
Dog,Small,12,Urban,210494,12418,3215,260046,HIGH
Dog,Medium,9,Urban,305882,12579,4538,371448,HIGH
Cat,Medium,3,Urban,300732,9443,5557,363091,HIGH
Dog,Small,8,Urban,215080,8744,3132,260999,HIGH
Dog,Large,5,Urban,411166,10519,6376,492270,HIGH
Dog,Small,12,Urban,213779,11975,3173,263266,HIGH
Dog,Large,4,Urban,410583,9644,6477,490709,HIGH
Dog,Medium,7,Semi-Urban,300171,8961,5389,361699,HIGH
Dog,Large,2,Semi-Urban,408172,8837,6519,487057,HIGH
Dog,Medium,1,Urban,301565,11954,5275,366613,HIGH
Dog,Extra Large,10,Urban,494026,12774,7832,591826,HIGH
Dog,Large,11,Urban,412063,13357,7307,497636,HIGH
Cat,Small,6,Urban,211290,10924,3560,259640,HIGH
Dog,Small,13,Semi-Urban,208785,9746,4224,256168,HIGH
Dog,Small,12,Urban,212739,13666,4649,265712,HIGH
Cat,Medium,11,Semi-Urban,305437,9642,5987,369225,HIGH
Dog,Medium,7,Urban,301855,9425,4938,363650,HIGH
Dog,Large,1,Urban,407353,12506,7412,491361,HIGH
Dog,Medium,11,Semi-Urban,303202,10259,5042,366278,HIGH
Dog,Large,12,Urban,407175,14208,7050,492697,HIGH
Dog,Large,1,Semi-Urban,407373,11338,6908,489461,HIGH
Cat,Large,12,Urban,405103,12664,6813,488267,HIGH
Dog,Large,12,Urban,407369,12022,6906,490241,HIGH
Dog,Small,5,Urban,213434,10615,4013,262271,HIGH
Dog,Small,1,Semi-Urban,214972,10803,3676,263868,HIGH
Dog,Extra Large,10,Urban,497339,14390,8405,598154,HIGH
Dog,Large,10,Urban,407704,13119,7697,492798,HIGH
Dog,Large,11,Urban,408448,13651,6640,493049,HIGH
Dog,Medium,4,Urban,302281,8433,5639,363805,HIGH
Dog,Small,1,Urban,215395,11764,3860,265671,HIGH
Cat,Extra Large,1,Semi-Urban,497046,10852,8158,593464,HIGH
Dog,Extra Large,1,Semi-Urban,498858,10615,8584,595765,HIGH
Cat,Medium,4,Urban,301331,10620,5529,365102,HIGH
Dog,Medium,13,Urban,300817,13581,4764,367036,HIGH
Dog,Extra Large,4,Urban,498193,9481,7444,592385,HIGH
Dog,Medium,6,Urban,304386,10349,4978,367669,HIGH
Cat,Large,5,Urban,408598,9129,6899,488319,HIGH
Cat,Large,8,Urban,409378,9811,7095,490226,HIGH
Cat,Large,9,Urban,407210,13129,7331,491820,HIGH
Dog,Medium,4,Urban,302454,10405,4033,364425,HIGH
Dog,Medium,8,Urban,305991,9032,5522,368626,HIGH
Dog,Medium,5,Semi-Urban,302568,7366,5797,363090,HIGH
Dog,Large,1,Urban,406783,12085,7272,490061,HIGH
Dog,Large,2,Semi-Urban,407427,8908,6529,486293,HIGH
Dog,Medium,1,Semi-Urban,304868,12255,4610,369992,HIGH
Cat,Large,3,Urban,408476,8894,6749,487736,HIGH
Dog,Medium,3,Semi-Urban,302020,8347,4907,362565,HIGH
Cat,Extra Large,8,Semi-Urban,501906,7975,9023,596739,HIGH
Dog,Medium,8,Urban,299482,9521,4737,360801,HIGH
Dog,Small,6,Urban,216432,10675,3181,264831,HIGH
Dog,Small,11,Semi-Urban,213658,9437,2758,259730,HIGH
Cat,Medium,8,Urban,302628,9460,5347,365050,HIGH
Dog,Medium,13,Urban,300126,13936,4574,366431,HIGH
Dog,Large,6,Urban,406832,8851,6636,485666,HIGH
Dog,Extra Large,13,Semi-Urban,496721,10622,8477,593193,HIGH
Dog,Small,3,Urban,212191,9293,4437,259809,HIGH
Dog,Medium,8,Semi-Urban,303175,8647,5129,364493,HIGH
Dog,Large,2,Urban,411735,9788,5961,491606,HIGH
Dog,Small,11,Urban,213866,12829,3456,264673,HIGH
Cat,Large,7,Semi-Urban,407017,6498,6305,482793,HIGH
Dog,Large,13,Semi-Urban,406101,10612,7026,487299,HIGH
Cat,Medium,10,Semi-Urban,299264,9916,5290,361640,HIGH
Dog,Large,3,Semi-Urban,408999,8434,7529,488706,HIGH
Cat,Large,3,Semi-Urban,409700,6064,6955,486126,HIGH
Dog,Extra Large,3,Semi-Urban,494979,8836,7762,588313,HIGH
Dog,Large,3,Semi-Urban,408587,8272,6636,487019,HIGH
Dog,Large,13,Semi-Urban,409277,11151,6460,490921,HIGH
Cat,Small,3,Urban,207168,11020,4113,255646,HIGH
Dog,Medium,2,Semi-Urban,301212,9521,4814,362879,HIGH
Cat,Medium,3,Urban,303904,9581,5078,366347,HIGH
Cat,Large,11,Urban,409320,12650,6714,492986,HIGH
Dog,Medium,13,Semi-Urban,301536,10252,5703,365114,HIGH
Cat,Large,4,Semi-Urban,408331,8276,6836,486959,HIGH
Dog,Large,5,Urban,404166,10032,7156,484557,HIGH
Dog,Medium,3,Urban,300469,11240,5164,364403,HIGH
Dog,Extra Large,8,Semi-Urban,498239,7288,8953,591652,HIGH
Cat,Extra Large,11,Urban,495856,12365,8732,594495,HIGH
Cat,Large,2,Urban,409327,10257,6432,489918,HIGH
Cat,Extra Large,4,Urban,497861,10584,8828,594863,HIGH
Cat,Small,8,Urban,211300,9243,3356,257483,HIGH
Dog,Small,7,Semi-Urban,213348,8349,3657,259157,HIGH
Dog,Small,11,Urban,210675,12787,3723,261262,HIGH
Dog,Extra Large,1,Urban,496786,13240,8737,596577,HIGH
Dog,Large,10,Urban,408374,12398,7466,492473,HIGH
Dog,Medium,6,Semi-Urban,299752,7915,4861,359407,HIGH
Cat,Medium,11,Semi-Urban,302124,11197,5544,366694,HIGH
Cat,Large,5,Urban,409013,10746,6438,490126,HIGH
Dog,Medium,4,Urban,300710,10360,4274,362645,HIGH
Dog,Small,6,Semi-Urban,211987,8521,2736,256730,HIGH
Dog,Small,8,Urban,211932,10212,3349,259316,HIGH
Dog,Medium,13,Urban,301303,13408,5496,368238,HIGH
Dog,Large,9,Urban,406969,12889,6919,490793,HIGH
Dog,Medium,12,Urban,303966,13538,5373,371308,HIGH
Dog,Medium,2,Semi-Urban,301128,7989,5741,362086,HIGH
Cat,Medium,13,Urban,301302,12217,5322,366667,HIGH
Dog,Large,3,Urban,410515,9589,7003,491173,HIGH
Dog,Small,11,Semi-Urban,213025,9341,3759,260043,HIGH
Dog,Large,2,Urban,405630,11412,6899,487532,HIGH
Dog,Medium,7,Semi-Urban,303441,8475,5325,364827,HIGH
Cat,Extra Large,6,Urban,498327,9898,8543,594283,HIGH
Dog,Large,6,Urban,408231,9816,6109,487779,HIGH
Dog,Medium,12,Urban,301479,13711,4887,368088,HIGH
Cat,Large,11,Semi-Urban,410708,9798,7439,492136,HIGH
Dog,Medium,11,Semi-Urban,301428,10490,4475,363851,HIGH
Dog,Medium,8,Semi-Urban,303539,8169,5220,364467,HIGH
Dog,Medium,12,Urban,299482,13531,4670,365335,HIGH
Dog,Extra Large,13,Urban,496987,13234,8576,596616,HIGH
Dog,Large,8,Urban,408139,10044,6841,488777,HIGH
Cat,Medium,13,Urban,302038,13335,4806,368205,HIGH
Dog,Medium,7,Urban,300874,11935,4771,365217,HIGH
